BI00A1200    7360T51816     202203037289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202203107289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202203177289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202203247289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202203317289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202204077289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202204217289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202204287289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202205057289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202205127289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202205197289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202205267289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202206027289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
