BI00B32DA    SBT2206A       202205057116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020220601000076000NNM   20220330131242    4P0P  00003800000000596600000925732DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4416-02             TERMINAL                 CCN000016000000032000FN00000000020220601000032000NNM   20220330131242    4P0P  00003200000000518400000847132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-4416-02             TERMINAL                 CCN000016000000032000FN00000000020220601000032000NNM   20220330131242    4P0P  00003200000000518400000847132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4486-02             TERMINAL                 CCN000112000000112000FN00000000020220601000112000NNM   20220330131242    4P0P  00002800000000666400000995132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-4486-02             TERMINAL                 CCN000112000000112000FN00000000020220601000112000NNM   20220330131242    4P0P  00002800000000666400000995132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-5045-02             TERMINAL                 CCN000040000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00001600000000678400001007132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-5045-02             TERMINAL                 CCN000040000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00001600000000678400001007132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-5750-02             TERMINAL                 CCN000210000000210000FN00000000020220601000210000NNM   20220330131242    4P0P  00001500000000457500000742732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-5750-02             TERMINAL                 CCN000210000000210000FN00000000020220601000210000NNM   20220330131242    4P0P  00001500000000457500000742732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-5751-02             TERMINAL                 CCN000024000000024000FN00000000020220601000024000NNM   20220330131242    4P0P  00001200000000379200000664432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-5751-02             TERMINAL                 CCN000024000000024000FN00000000020220601000024000NNM   20220330131242    4P0P  00001200000000379200000664432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-5752-02             TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220330131242    4P0P  00002100000000571200000856432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057116-5752-02             TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220330131242    4P0P  00002100000000571200000856432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287158-3006-90             RUBBER STOPPER           CCN000200000000200000FN00000000020220601000200000NNM   20220330131242    1C0C  00002000000000330600000386032DA    GBYIPLGB002700430014
