BI00B32CJ    JQN2061        202205137327-6987-3W             BATTERY FUSE             CCN000001368000001368FN00000000020220601000001368NNMD0020220428160229    4N0N  00000007200000511300000711532CJ    QNYHVQN 005500360039
BI00B32DE    TCT205D        202204297283-4855-40             CONNECTOR HOUSING        CCN000002400000002400FN00000000020220501000002400NNE00020220428161250    4N0N  00000240000001188400001400032DE    TVYEV-TV005600360039
BI00B32DG    #RL2071        202206097283-8123-40             CONNECTOR HOUSING        CCN000008000000008000FN00000000020220701000008000NNM   20220428121351    2N0N  00000400000000380000000530032DG    BFSAIBF 005600390023
BI00B32DG    #RL2072        202206167283-8123-40             CONNECTOR HOUSING        CCN000004000000004000FN00000000020220701000004000NNM   20220428121351    2N0N  00000400000000380000000530032DG    BFSAIBF 005600390023
BI00B32DG    #RL2073        202206237283-8123-40             CONNECTOR HOUSING        CCN000004000000004000FN00000000020220701000004000NNM   20220428121351    2N0N  00000400000000380000000530032DG    BFSAIBF 005600390023
BI00B32DG    #RL2071        202206097035-5731                GROMMET                  CCN000001000000001000FN00000000020220701000001000NNM   20220428121351    2H0H  00000050000000808000000918032DG    BFSAIBF 005600390040
BI00B32DG    #RL2072        202206167035-5731                GROMMET                  CCN000000500000000500FN00000000020220701000000500NNM   20220428121351    2H0H  00000050000000808000000918032DG    BFSAIBF 005600390040
BI00B32DG    #RL2071        202206097158-3004-40             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2C0C  00002000000000234000000306332DG    BFSAIBF 002700430014
BI00B32DG    #RL2071        202206097183-6320                HOUSING                  CCN000009600000009600FN00000000020220701000009600NNM   20220428121351    2F0F  00000480000000820800001103632DG    BFSAIBF 005500360039
BI00B32DG    #RL2072        202206167183-6320                HOUSING                  CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000480000000820800001103632DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097183-1615                HOUSING                  CCN000009600000009600FN00000000020220701000009600NNM   20220428121351    2F0F  00000480000000757000001042032DG    BFSAIBF 005500360039
BI00B32DG    #RL2072        202206167183-1615                HOUSING                  CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000480000000757000001042032DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097183-2415                CONNECTOR HOUSING        CCN000009600000009600FN00000000020220701000009600NNM   20220428121351    2F0F  00000480000000798200001091432DG    BFSAIBF 005500360039
BI00B32DG    #RL2072        202206167183-2415                CONNECTOR HOUSING        CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000480000000798200001091432DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097183-2413-30             CONNECTOR HOUSING        CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000480000000477600000759532DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097114-4022                TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220428121351    2F0P  00001500000000708000001120632DG    BFSAIBF 006400630015
BI00B32DG    #RL2071        202206097158-3008-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220428121351    2C0C  00002000000000288000000343032DG    BFSAIBF 004300270014
BI00B32DG    #RL2072        202206167158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2C0C  00002000000000288000000343032DG    BFSAIBF 004300270014
BI00B32DG    #RL2073        202206237158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2C0C  00002000000000288000000343032DG    BFSAIBF 004300270014
BI00B32DG    #RL2074        202206307158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2C0C  00002000000000288000000343032DG    BFSAIBF 004300270014
BI00B32DG    #RL2071        202206097158-3007-10             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220428121351    2H0H  00002000000000308000000362732DG    BFSAIBF 002700430014
BI00B32DG    #RL2072        202206167158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2H0H  00002000000000308000000362732DG    BFSAIBF 002700430014
BI00B32DG    #RL2073        202206237158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2H0H  00002000000000308000000362732DG    BFSAIBF 002700430014
BI00B32DG    #RL2074        202206307158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2H0H  00002000000000308000000362732DG    BFSAIBF 002700430014
BI00B32DG    #RL2071        202206097189-3031                HOUSING FEMALE           CCN000002400000002400FN00000000020220701000002400NNM   20220428121351    2F0F  00000240000000928800001365832DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097282-5845-30             HOUSING MALE ASS'Y       CCN000004000000004000FN00000000020220701000004000NNM   20220428121351    2N0N  00000400000001068000001178032DG    BFSAIBF 005400370024
BI00B32DG    #RL2071        202206097282-1026                CONNECTOR HOUSING        CCN000004000000004000FN00000000020220701000004000NNM   20220428121351    2N0N  00000200000000696000000808532DG    BFSAIBF 005400370024
BI00B32DG    #RL2072        202206167282-1026                CONNECTOR HOUSING        CCN000002000000002000FN00000000020220701000002000NNM   20220428121351    2N0N  00000200000000696000000808532DG    BFSAIBF 005400370024
BI00B32DG    #RL2073        202206237282-1026                CONNECTOR HOUSING        CCN000002000000002000FN00000000020220701000002000NNM   20220428121351    2N0N  00000200000000696000000808532DG    BFSAIBF 005400370024
BI00B32DG    #RL2074        202206307282-1026                CONNECTOR HOUSING        CCN000002000000002000FN00000000020220701000002000NNM   20220428121351    2N0N  00000200000000696000000808532DG    BFSAIBF 005400370024
BI00B32DG    #RL2071        202206097158-3003-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2C0C  00002000000000250000000306032DG    BFSAIBF 002700430014
BI00B32DG    #RL2071        202206097282-3020                CONNECTOR                CCN000001000000001000FN00000000020220701000001000NNM   20220428121351    2N0N  00000100000000984000001145432DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097183-1616                CONNECTOR HOUSING        CCN000009600000009600FN00000000020220701000009600NNM   20220428121351    2F0F  00000240000000557500000823332DG    BFSAIBF 005500360039
BI00B32DG    #RL2072        202206167183-1616                CONNECTOR HOUSING        CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000240000000557500000823332DG    BFSAIBF 005500360039
BI00B32DG    #RL2073        202206237183-1616                CONNECTOR HOUSING        CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000240000000557500000823332DG    BFSAIBF 005500360039
BI00B32DG    #RL2074        202206307183-1616                CONNECTOR HOUSING        CCN000002400000002400FN00000000020220701000002400NNM   20220428121351    2F0F  00000240000000557500000823332DG    BFSAIBF 005500360039
BI00B32DG    #RL2071        202206097172-5632-10             DUMMY PLUG               CCN000040000000040000FN00000000020220701000040000NNM   20220428121351    2H0H  00002000000000080400000131832DG    BFSAIBF 004300270014
BI00B32DG    #RL2072        202206167172-5632-10             DUMMY PLUG               CCN000020000000020000FN00000000020220701000020000NNM   20220428121351    2H0H  00002000000000080400000131832DG    BFSAIBF 004300270014
BI00B32DG    #RL2071        202206097183-2418                CONNECTOR HOUSING        CCN000004800000004800FN00000000020220701000004800NNM   20220428121351    2F0F  00000480000000917000001477032DG    BFSAIBF 005500360039
BI00B32DG    RP2071         202206097114-4020                TERMINAL                 CCN000021000000021000FN00000000020220701000021000NNM   20220428121351    4P0P  00002100000000875700001169332DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4021                TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220428121351    4P0P  00001500000000670500000964132DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-4021                TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220428121351    4P0P  00001500000000670500000964132DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-4021                TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220428121351    4P0P  00001500000000670500000964132DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220428121351    4P0P  00000750000000735000001063632DG    BFSAIBF 006400630017
BI00B32DG    RP2072         202206167114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220428121351    4P0P  00000750000000735000001063632DG    BFSAIBF 006400630017
BI00B32DG    RP2071         202206097114-4231-02             TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220428121351    4P0P  00001800000000554400000848032DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4486-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220428121351    4P0P  00002400000000662400000956032DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220428121351    4P0P  00002400000000895200001188832DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220428121351    4P0P  00002400000000895200001188832DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4728-02             TERMINAL                 CCN000330000000330000FN00000000020220701000330000NNM   20220428121351    4P0P  00003000000000510000000804232DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-4728-02             TERMINAL                 CCN000180000000180000FN00000000020220701000180000NNM   20220428121351    4P0P  00003000000000510000000804232DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-4728-02             TERMINAL                 CCN000180000000180000FN00000000020220701000180000NNM   20220428121351    4P0P  00003000000000510000000804232DG    BFSAIBF 006400630015
BI00B32DG    RP2074         202206307114-4728-02             TERMINAL                 CCN000090000000090000FN00000000020220701000090000NNM   20220428121351    4P0P  00003000000000510000000804232DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-4729-02             TERMINAL                 CCN000090000000090000FN00000000020220701000090000NNM   20220428121351    4P0P  00003000000000516000000810232DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-4729-02             TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220428121351    4P0P  00003000000000516000000810232DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-4729-02             TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220428121351    4P0P  00003000000000516000000810232DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-5746-02             TERMINAL                 CCN000042000000042000FN00000000020220701000042000NNM   20220428121351    4P0P  00002100000000695100000988732DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-5746-02             TERMINAL                 CCN000021000000021000FN00000000020220701000021000NNM   20220428121351    4P0P  00002100000000695100000988732DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-5746-02             TERMINAL                 CCN000021000000021000FN00000000020220701000021000NNM   20220428121351    4P0P  00002100000000695100000988732DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-5747-02             TERMINAL                 CCN000126000000126000FN00000000020220701000126000NNM   20220428121351    4P0P  00001800000000626400000920032DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-5747-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220428121351    4P0P  00001800000000626400000920032DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-5747-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220428121351    4P0P  00001800000000626400000920032DG    BFSAIBF 006400630015
BI00B32DG    RP2074         202206307114-5747-02             TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220428121351    4P0P  00001800000000626400000920032DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-5748-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220428121351    4P0P  00001200000000444000000737632DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-5748-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00001200000000444000000737632DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-5748-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00001200000000444000000737632DG    BFSAIBF 006400630015
