BI00B32Q8    EW22073 MW     20220608180D0203950              AVSSH 0.5F R             CCN000010500000010500FN00000000020220701000010500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425021
BI00B32Q8    EW22074 MW     20220615180D0203950              AVSSH 0.5F R             CCN000013500000013500FN00000000020220701000013500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126023
BI00B32Q8    EW22074 MW     20220615180D0203992              AVSSH 0.5F V             CCN000006000000006000FN00000000020220701000006000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126024
BI00B32Q8    EW22072 MW     20220601180D0203940              AVSSH 0.5F W             CCN000004500000004500FN00000000020220701000004500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI325012
BI00B32Q8    EW22073 MW     20220608180D0203940              AVSSH 0.5F W             CCN000025500000025500FN00000000020220701000025500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425022
BI00B32Q8    EW22074 MW     20220615180D0203940              AVSSH 0.5F W             CCN000022500000022500FN00000000020220701000022500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126025
BI00B32Q8    EW22073 MW     20220608180D0203943              AVSSH 0.5F W/B           CCN000019500000019500FN00000000020220701000019500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425023
BI00B32Q8    EW22074 MW     20220615180D0203943              AVSSH 0.5F W/B           CCN000021000000021000FN00000000020220701000021000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126026
BI00B32Q8    EW22072 MW     20220601180D0204030              AVSSH 0.75F B            CCN000004000000004000FN00000000020220701000004000NNM   20220416203414    1W    00000100000000934000000000032Q8    EMEMI   000000000000MI325013
BI00B32Q8    EW22073 MW     20220608180D0204030              AVSSH 0.75F B            CCN000009000000009000FN00000000020220701000009000NNM   20220416203414    1W    00000100000000934000000000032Q8    EMEMI   000000000000MI425024
BI00B32Q8    EW22074 MW     20220615180D0204030              AVSSH 0.75F B            CCN000008000000008000FN00000000020220701000008000NNM   20220416203414    1W    00000100000000934000000000032Q8    EMEMI   000000000000MI126027
BI00B32Q8    EW22071 MW     20220525180D0204130              AVSSH 1.25F B            CCN000003200000003200FN00000000020220701000003200NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI225006
BI00B32Q8    EW22072 MW     20220601180D0204130              AVSSH 1.25F B            CCN000031200000031200FN00000000020220701000031200NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI325014
BI00B32Q8    EW22073 MW     20220608180D0204130              AVSSH 1.25F B            CCN000036800000036800FN00000000020220701000036800NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI425025
