BI00B32D9    C21304         202202241801W006940              IVSSH 0.35F W            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222046
BI00B32D9    C21304         202202241801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222041
BI00B32D9    C21003         202202031801W006950              IVSSH 0.35F R            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321048
BI00B32D9    C21103         202202101801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421040
BI00B32D9    C21203         202202171801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122043
BI00B32D9    C21304         202202241801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222044
BI00B32D9    C21003         202202031801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321047
BI00B32D9    C21103         202202101801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421039
BI00B32D9    C21003         202202031801W006960              IVSSH 0.35F G            CCN000012500000012500FN00000000020220301000012500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321045
BI00B32D9    C21103         202202101801W006960              IVSSH 0.35F G            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421037
BI00B32D9    C21203         202202171801W006960              IVSSH 0.35F G            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122040
BI00B32D9    C21304         202202241801W006960              IVSSH 0.35F G            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222040
BI00B32D9    C21203         202202171801W006961              IVSSH 0.35F LG           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122042
BI00B32D9    C21304         202202241801W006961              IVSSH 0.35F LG           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222043
BI00B32D9    C21003         202202031801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321052
BI00B32D9    C21103         202202101801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421043
BI00B32D9    C21203         202202171801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122046
BI00B32D9    C21304         202202241801W006970              IVSSH 0.35F Y            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222047
