BI00B32DE    TCT2074        202206307114-4110-02             TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220505122117    4P0P  00001500000000901500001230132DE    TVYEV-TV006400630017
BI00B32DE    TCT2072        202206167114-4112-02             TERMINAL                 CCN000009000000009000FN00000000020220701000009000NNM   20220505122117    4P0P  00000900000000598500000927132DE    TVYEV-TV006400630017
BI00B32DE    TCT2073        202206237114-4112-02             TERMINAL                 CCN000009000000009000FN00000000020220701000009000NNM   20220505122117    4P0P  00000900000000598500000927132DE    TVYEV-TV006400630017
BI00B32DE    TCT2075        202207077114-4112-02             TERMINAL                 CCN000009000000009000FN00000000020220701000009000NNM   20220505122117    4P0P  00000900000000598500000927132DE    TVYEV-TV006400630017
BI00B32DE    TCT2073        202206237114-4231-02             TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220505122117    4P0P  00001800000000554400000848032DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4231-02             TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000000554400000848032DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-4231-02             TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220505122117    4P0P  00001800000000554400000848032DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220505122117    4P0P  00002400000000895200001188832DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220505122117    4P0P  00002400000000895200001188832DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4728-02             TERMINAL                 CCN000090000000090000FN00000000020220701000090000NNM   20220505122117    4P0P  00003000000000510000000804232DE    TVYEV-TV006400630015
BI00B32DE    TCT2071        202206097114-4729-02             TERMINAL                 CCN000180000000180000FN00000000020220701000180000NNM   20220505122117    4P0P  00003000000000516000000810232DE    TVYEV-TV006400630015
BI00B32DE    TCT2072        202206167114-4729-02             TERMINAL                 CCN000180000000180000FN00000000020220701000180000NNM   20220505122117    4P0P  00003000000000516000000810232DE    TVYEV-TV006400630015
BI00B32DE    TCT2073        202206237114-4729-02             TERMINAL                 CCN000150000000150000FN00000000020220701000150000NNM   20220505122117    4P0P  00003000000000516000000810232DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020220701000120000NNM   20220505122117    4P0P  00003000000000516000000810232DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-4729-02             TERMINAL                 CCN000210000000210000FN00000000020220701000210000NNM   20220505122117    4P0P  00003000000000516000000810232DE    TVYEV-TV006400630015
BI00B32DE    TCT2071        202206097114-5746-02             TERMINAL                 CCN000063000000063000FN00000000020220701000063000NNM   20220505122117    4P0P  00002100000000695100000988732DE    TVYEV-TV006400630015
BI00B32DE    TCT2072        202206167114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020220701000084000NNM   20220505122117    4P0P  00002100000000695100000988732DE    TVYEV-TV006400630015
BI00B32DE    TCT2073        202206237114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020220701000084000NNM   20220505122117    4P0P  00002100000000695100000988732DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-5746-02             TERMINAL                 CCN000063000000063000FN00000000020220701000063000NNM   20220505122117    4P0P  00002100000000695100000988732DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020220701000084000NNM   20220505122117    4P0P  00002100000000695100000988732DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-5747-02             TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000000626400000920032DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-5747-02             TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000000626400000920032DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-5748-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220505122117    4P0P  00001200000000444000000737632DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-5748-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220505122117    4P0P  00001200000000444000000737632DE    TVYEV-TV006400630015
BI00B32DE    TCT2072        202206167114-5753-02             TERMINAL                 CCN000027000000027000FN00000000020220701000027000NNM   20220505122117    4P0P  00002700000000847800001141432DE    TVYEV-TV006400630015
BI00B32DE    TCT2073        202206237114-5753-02             TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220505122117    4P0P  00002700000000847800001141432DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-5753-02             TERMINAL                 CCN000027000000027000FN00000000020220701000027000NNM   20220505122117    4P0P  00002700000000847800001141432DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-5753-02             TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220505122117    4P0P  00002700000000847800001141432DE    TVYEV-TV006400630015
BI00B32DE    TCT2072        202206167116-1685-02             TERMINAL                 CCN000312000000312000FN00000000020220701000312000NNM   20220505122117    4P0P  00002400000000897600001065232DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-1685-02             TERMINAL                 CCN000480000000480000FN00000000020220701000480000NNM   20220505122117    4P0P  00002400000000897600001065232DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-1685-02             TERMINAL                 CCN000384000000384000FN00000000020220701000384000NNM   20220505122117    4P0P  00002400000000897600001065232DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077116-1685-02             TERMINAL                 CCN000792000000792000FN00000000020220701000792000NNM   20220505122117    4P0P  00002400000000897600001065232DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167116-1686-02             TERMINAL                 CCN000021000000021000FN00000000020220701000021000NNM   20220505122117    4P0P  00002100000000869400001021632DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-1686-02             TERMINAL                 CCN000063000000063000FN00000000020220701000063000NNM   20220505122117    4P0P  00002100000000869400001021632DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-1686-02             TERMINAL                 CCN000042000000042000FN00000000020220701000042000NNM   20220505122117    4P0P  00002100000000869400001021632DE    TVYEV-TV005100280028
