BI00B1200    #2399T52313    202204217189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020220501000003200NNM   20220223121808    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52312    202204077198-1371-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220501000002000NNM   20220223121808    2F0F  0000020000000059780000072121200    YCYC    005400370024
BI00B1200    #2399T52313    202204217198-1371-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220501000002000NNM   20220223121808    2F0F  0000020000000059780000072121200    YCYC    005400370024
BI00B1200    #2399T52312    202204077198-1373-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220501000002000NNM   20220223121808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52313    202204217198-1373-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220501000002000NNM   20220223121808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52315     202204287195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220501000025500NNM   20220223121808    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52315     202204287195-0783-08             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52315     202204287196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220501000032000NNM   20220223121808    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52315     202204287196-0648-02             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52315     202204287196-0805-02             TERMINAL FEMALE          CCN000427500000427500FN00000000020220501000427500NNM   20220223121808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52315     202204287282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220501000000800NNM   20220223121808    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    #2399T52315    202204287174-1760-50             CAP                      CCN000030000000030000FN00000000020220501000030000NNM   20220223121808    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52315    202204287183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220501000002500NNM   20220223121808    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52315    202204287189-3033                HOUSING FEMALE           CCN000059200000059200FN00000000020220501000059200NNM   20220223121808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52315    202204287189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220501000016000NNM   20220223121808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52315    202204287189-3036                HOUSING FEMALE           CCN000041600000041600FN00000000020220501000041600NNM   20220223121808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52315    202204287189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220501000001600NNM   20220223121808    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52315    202204287198-1373-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220501000002000NNM   20220223121808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52316     202204077287-9323                UNSEALED HOUSING SUB     CCN000014400000014400FN00000000020220501000014400NNM   20220223121808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52317     202204217287-9323                UNSEALED HOUSING SUB     CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52318     202204287287-9323                UNSEALED HOUSING SUB     CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52316     202204077288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220501000001500NNM   20220223121808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52317     202204217288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220501000001500NNM   20220223121808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52316     202204077288-3339-30             HOUSING MALE             CCN000007500000007500FN00000000020220501000007500NNM   20220223121808    4N0N  0000015000000086700000101201200    YCYC    005400370024
