BI00A1200    HIB21121301    202202107196-2027-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020220101000024000NNED0420211229200538    4P0P  0000240000000104400000120741200    YCYC    005100280028
BI00B1200    #2399T52108    202202247174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020220301000000320NNM   20211229200538    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52108    202202247174-1314-30             SEALED COVER             CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    2399T52109     202202037174-1849-70             COVER                    CCN000050000000050000FN00000000020220301000050000NNM   20211229200538    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52110     202202107174-1849-70             COVER                    CCN000050000000050000FN00000000020220301000050000NNM   20211229200538    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52111     202202177174-1849-70             COVER                    CCN000025000000025000FN00000000020220301000025000NNM   20211229200538    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52109     202202037195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220301000025500NNM   20211229200538    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52110     202202107195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220301000025500NNM   20211229200538    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52111     202202177195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220301000025500NNM   20211229200538    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52109     202202037195-0547-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220301000025500NNM   20211229200538    4P0P  0000255000000041820000076021200    YCYC    006400630015
BI00B1200    2399T52109     202202037196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220301000038000NNM   20211229200538    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52110     202202107196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220301000038000NNM   20211229200538    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52111     202202177196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220301000038000NNM   20211229200538    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52109     202202037196-0551-02             TERMINAL ALUMINIUM       CCN000028000000028000FN00000000020220301000028000NNM   20211229200538    4P0P  0000280000000046480000085121200    YCYC    006400630017
BI00B1200    2399T52109     202202037196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220301000135000NNM   20211229200538    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52110     202202107196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220301000120000NNM   20211229200538    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52111     202202177196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220301000120000NNM   20211229200538    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52109     202202037196-0805-02             TERMINAL FEMALE          CCN000067500000067500FN00000000020220301000067500NNM   20211229200538    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52110     202202107196-0805-02             TERMINAL FEMALE          CCN000045000000045000FN00000000020220301000045000NNM   20211229200538    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52111     202202177196-0805-02             TERMINAL FEMALE          CCN000045000000045000FN00000000020220301000045000NNM   20211229200538    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52109     202202037287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220301000007200NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52110     202202107287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220301000007200NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52111     202202177287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220301000007200NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    #2399T52109    202202037174-1515                FRONT DOOR COVER         CCN000004200000004200FN00000000020220301000004200NNM   20211229200538    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52110    202202107174-1515                FRONT DOOR COVER         CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52111    202202177174-1515                FRONT DOOR COVER         CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52109    202202037174-1760-50             CAP                      CCN000033000000033000FN00000000020220301000033000NNM   20211229200538    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52110    202202107174-1760-50             CAP                      CCN000033000000033000FN00000000020220301000033000NNM   20211229200538    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52111    202202177174-1760-50             CAP                      CCN000030000000030000FN00000000020220301000030000NNM   20211229200538    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52109    202202037189-3033                HOUSING FEMALE           CCN000036800000036800FN00000000020220301000036800NNM   20211229200538    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52110    202202107189-3033                HOUSING FEMALE           CCN000035200000035200FN00000000020220301000035200NNM   20211229200538    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52111    202202177189-3033                HOUSING FEMALE           CCN000035200000035200FN00000000020220301000035200NNM   20211229200538    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52109    202202037189-3034-30             HOUSING FEMALE           CCN000006400000006400FN00000000020220301000006400NNM   20211229200538    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52110    202202107189-3034-30             HOUSING FEMALE           CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52111    202202177189-3034-30             HOUSING FEMALE           CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52109    202202037189-3036                HOUSING FEMALE           CCN000025600000025600FN00000000020220301000025600NNM   20211229200538    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52110    202202107189-3036                HOUSING FEMALE           CCN000024000000024000FN00000000020220301000024000NNM   20211229200538    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52111    202202177189-3036                HOUSING FEMALE           CCN000024000000024000FN00000000020220301000024000NNM   20211229200538    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52109    202202037189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220301000001600NNM   20211229200538    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52109    202202037198-1371-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220301000002000NNM   20211229200538    2F0F  0000020000000059780000072121200    YCYC    005400370024
BI00B1200    #2399T52109    202202037198-1372-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220301000002000NNM   20211229200538    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    #2399T52110    202202107198-1372-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220301000002000NNM   20211229200538    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    2399T52112     202202247174-1849-70             COVER                    CCN000025000000025000FN00000000020220301000025000NNM   20211229200538    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T52112     202202247195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220301000025500NNM   20211229200538    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52112     202202247196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220301000120000NNM   20211229200538    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52112     202202247196-0805-02             TERMINAL FEMALE          CCN000045000000045000FN00000000020220301000045000NNM   20211229200538    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    #2399T52112    202202247174-1515                FRONT DOOR COVER         CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52112    202202247174-1760-50             CAP                      CCN000030000000030000FN00000000020220301000030000NNM   20211229200538    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52112    202202247189-3033                HOUSING FEMALE           CCN000035200000035200FN00000000020220301000035200NNM   20211229200538    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52112    202202247189-3034-30             HOUSING FEMALE           CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52112    202202247189-3036                HOUSING FEMALE           CCN000024000000024000FN00000000020220301000024000NNM   20211229200538    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    2399T52113     202202037287-9323-30             UNSEALED HOUSING SUB     CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52114     202202107287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52115     202202177287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52116     202202247287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52113     202202037288-3339-30             HOUSING MALE             CCN000006000000006000FN00000000020220301000006000NNM   20211229200538    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52114     202202107288-3339-30             HOUSING MALE             CCN000006000000006000FN00000000020220301000006000NNM   20211229200538    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52115     202202177288-3339-30             HOUSING MALE             CCN000006000000006000FN00000000020220301000006000NNM   20211229200538    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52116     202202247288-3339-30             HOUSING MALE             CCN000004500000004500FN00000000020220301000004500NNM   20211229200538    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52113     202202037288-6547                CONNECTOR MALE ASS'Y     CCN000173250000173250FN00000000020220301000173250NNM   20211229200538    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52114     202202107288-6547                CONNECTOR MALE ASS'Y     CCN000173250000173250FN00000000020220301000173250NNM   20211229200538    4N0N  0000007500000120530000134031200    YCYC    005400370024
