BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B32A7    ZZ22051LMW     202204067017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020220501000045000NNM   20220301132716    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22052LMW     202204127017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020220501000045000NNM   20220301132716    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22053LMW     202204207017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020220501000090000NNM   20220301132716    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22054LMW     202204277017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020220501000045000NNM   20220301132716    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22051LMW     202204067017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220501000054000NNM   20220301132716    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22052LMW     202204127017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220501000054000NNM   20220301132716    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22053LMW     202204207017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220501000054000NNM   20220301132716    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22054LMW     202204277017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220501000027000NNM   20220301132716    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22051LMW     202204067116-1685-02             TERMINAL                 CCN000048000000048000FN00000000020220501000048000NNM   20220301132716    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22052LMW     202204127116-1685-02             TERMINAL                 CCN000048000000048000FN00000000020220501000048000NNM   20220301132716    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22053LMW     202204207116-1685-02             TERMINAL                 CCN000048000000048000FN00000000020220501000048000NNM   20220301132716    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22054LMW     202204277116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020220501000024000NNM   20220301132716    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22054LMW     202204277116-4020                TERMINAL                 CCN000013500000013500FN00000000020220501000013500NNM   20220301132716    4P0P  00001350000000513000000798232A7    ZZZZY   006400630015
BI00B32A7    ZZ22051LMW     202204067116-4025                TERMINAL                 CCN000016000000016000FN00000000020220501000016000NNM   20220301132716    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22052LMW     202204127116-4025                TERMINAL                 CCN000032000000032000FN00000000020220501000032000NNM   20220301132716    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22053LMW     202204207116-4025                TERMINAL                 CCN000032000000032000FN00000000020220501000032000NNM   20220301132716    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22054LMW     202204277116-4025                TERMINAL                 CCN000032000000032000FN00000000020220501000032000NNM   20220301132716    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22051LMW     202204067116-4026                TERMINAL                 CCN000032000000032000FN00000000020220501000032000NNM   20220301132716    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22052LMW     202204127116-4026                TERMINAL                 CCN000032000000032000FN00000000020220501000032000NNM   20220301132716    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22053LMW     202204207116-4026                TERMINAL                 CCN000048000000048000FN00000000020220501000048000NNM   20220301132716    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22054LMW     202204277116-4026                TERMINAL                 CCN000016000000016000FN00000000020220501000016000NNM   20220301132716    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22053LMW     202204207116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020220501000004500NNM   20220301132716    4P0P  00000450000000618800000912432A7    ZZZZY   006400630015
