BI00B32A7    ZZ22033LMW     202202097116-4122-02             TERMINAL                 CCN000009000000009000FN00000000020220301000009000NNM   20220106144725    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
BI00B32A7    ZZ22034LMW     202202237116-4122-02             TERMINAL                 CCN000004500000004500FN00000000020220301000004500NNM   20220106144725    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027123-1508                CONNECTOR                CCN000021000000021000FN00000000020220301000021000NNM   20220106144725    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22032LMW     202202097123-1508                CONNECTOR                CCN000001000000001000FN00000000020220301000001000NNM   20220106144725    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22033LMW     202202097123-1508                CONNECTOR                CCN000009000000009000FN00000000020220301000009000NNM   20220106144725    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22034LMW     202202237123-1508                CONNECTOR                CCN000004000000004000FN00000000020220301000004000NNM   20220106144725    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22031LMW     202202027126-8853-02             TERMINAL                 CCN000067500000067500FN00000000020220301000067500NNM   20220106144725    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22033LMW     202202097126-8853-02             TERMINAL                 CCN000015000000015000FN00000000020220301000015000NNM   20220106144725    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22034LMW     202202237126-8853-02             TERMINAL                 CCN000030000000030000FN00000000020220301000030000NNM   20220106144725    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027126-8854-02             TERMINAL                 CCN000082500000082500FN00000000020220301000082500NNM   20220106144725    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22033LMW     202202097126-8854-02             TERMINAL                 CCN000015000000015000FN00000000020220301000015000NNM   20220106144725    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22034LMW     202202237126-8854-02             TERMINAL                 CCN000030000000030000FN00000000020220301000030000NNM   20220106144725    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027126-8855-02             TERMINAL                 CCN000066000000066000FN00000000020220301000066000NNM   20220106144725    4P0P  00000600000000510600000795832A7    ZZZZY   006400630015
BI00B32A7    ZZ22033LMW     202202097126-8855-02             TERMINAL                 CCN000012000000012000FN00000000020220301000012000NNM   20220106144725    4P0P  00000600000000510600000795832A7    ZZZZY   006400630015
BI00B32A7    ZZ22034LMW     202202237126-8855-02             TERMINAL                 CCN000030000000030000FN00000000020220301000030000NNM   20220106144725    4P0P  00000600000000510600000795832A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027158-3006-90             RUBBER STOPPER           CCN000080000000080000FN00000000020220301000080000NNM   20220106144725    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22032LMW     202202097158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144725    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22033LMW     202202097158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144725    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22031LMW     202202027158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220301000040000NNM   20220106144725    1C0C  00004000000000276000000333332A7    ZZZZY   002700430014
BI00B32A7    ZZ22031LMW     202202027158-3166-60             WIRE SEAL                CCN000720000000720000FN00000000020220301000720000NNM   20220106144725    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22033LMW     202202097158-3166-60             WIRE SEAL                CCN000280000000280000FN00000000020220301000280000NNM   20220106144725    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22034LMW     202202237158-3166-60             WIRE SEAL                CCN000160000000160000FN00000000020220301000160000NNM   20220106144725    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22031LMW     202202027158-3167-80             WIRE SEAL                CCN000640000000640000FN00000000020220301000640000NNM   20220106144725    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22033LMW     202202097158-3167-80             WIRE SEAL                CCN000240000000240000FN00000000020220301000240000NNM   20220106144725    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22031LMW     202202027158-3168-80             SEALED                   CCN000080000000080000FN00000000020220301000080000NNM   20220106144725    1C0C  00002000000000044000000092132A7    ZZZZY   004300260014
BI00B32A7    ZZ22031LMW     202202027158-3169-40             SEALING PLUG             CCN000120000000120000FN00000000020220301000120000NNM   20220106144725    1C0C  00004000000000156000000204132A7    ZZZZY   004300260014
BI00B32A7    ZZ22034LMW     202202237158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220301000040000NNM   20220106144725    1C0C  00004000000000156000000204132A7    ZZZZY   004300260014
BI00B32A7    ZZ22033LMW     202202097172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220301000008000NNM   20220106144725    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22034LMW     202202237172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220301000008000NNM   20220106144725    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22033LMW     202202097196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220301000032000NNM   20220106144725    4P0P  00003200000000515200000901632A7    ZZZZY   006400630017
BI00B32A7    ZZ22031LMW     202202027289-4696-30             HOUSING FEMALE ASS'Y     CCN000088000000088000FN00000000020220301000088000NNM   20220106144725    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
BI00B32A7    ZZ22033LMW     202202097289-4696-30             HOUSING FEMALE ASS'Y     CCN000026000000026000FN00000000020220301000026000NNM   20220106144725    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
