BI00B32AF    @TTB202D       20220218181B0911741              CAVSAS 0.3X3 GY          CCN000002750000002750FN00000000020220201000002750NNE   20220118142650    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UT122001
BI00A32M4    TW2024B        202201241801W003950              IVSSH 0.5F R             CCN000025200000025200FN00000000020220201000025200NNE21 20220118104758    1W    00000180000000625000000000032M4    SISAI   000000000000GB222011
BI00A32M4    TW2024B        202201241801W003952              IVSSH 0.5F P             CCN000007200000007200FN00000000020220201000007200NNE21 20220118104829    1W    00000180000000625000000000032M4    SISAI   000000000000GB222010
BI00B32X5    TWB2007A       202202111801W006940              IVSSH 0.35F W            CCN000030000000030000FN00000000020220401000030000NNE   20220118154437X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AD421001
BI00B32X5    TWB2007B       202202181801W006940              IVSSH 0.35F W            CCN000030000000030000FN00000000020220401000030000NNE   20220118154439X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AH122001
BI00B32X5    TWB2012        202202181801W00395U              IVSSH 0.5F BE            CCN000003600000003600FN00000000020220501000003600NNE   20220118154441X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE122001
BI00B32X5    TWB2012        202202181801W003961              IVSSH 0.5F LG            CCN000001800000001800FN00000000020220501000001800NNE   20220118154441X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE122003
BI00B32X5    TWB2012        202202181801W003990              IVSSH 0.5F L             CCN000007200000007200FN00000000020220501000007200NNE   20220118154441X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE122002
BI00B32X5    TWB2012        202202181801W004030              IVSSH 0.75F B            CCN000002600000002600FN00000000020220501000002600NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122004
BI00B32X5    TWB2012        202202181801W004052              IVSSH 0.75F P            CCN000002600000002600FN00000000020220501000002600NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122007
BI00B32X5    TWB2012        202202181801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220501000001300NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122005
BI00B32X5    TWB2012        202202181801W004070              IVSSH 0.75F Y            CCN000002600000002600FN00000000020220501000002600NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122009
BI00B32X5    TWB2012        202202181801W004090              IVSSH 0.75F L            CCN000002600000002600FN00000000020220501000002600NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122006
BI00B32X5    TWB2012        202202181801W004092              IVSSH 0.75F V            CCN000002600000002600FN00000000020220501000002600NNE   20220118154441X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE122008
BI00B32X5    TWB2012        202202181801W006930              IVSSH 0.35F B            CCN000025000000025000FN00000000020220501000025000NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122010
BI00B32X5    TWB2012        202202181801W006940              IVSSH 0.35F W            CCN000035000000035000FN00000000020220501000035000NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122016
BI00B32X5    TWB2012        202202181801W006943              IVSSH 0.35F W/B          CCN000012500000012500FN00000000020220501000012500NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122017
BI00B32X5    TWB2012        202202181801W006950              IVSSH 0.35F R            CCN000020000000020000FN00000000020220501000020000NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122014
BI00B32X5    TWB2012        202202181801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220501000002500NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122013
BI00B32X5    TWB2012        202202181801W006980              IVSSH 0.35F BR           CCN000002500000002500FN00000000020220501000002500NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122011
BI00B32X5    TWB2012        202202181801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220501000002500NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122012
BI00B32X5    TWB2012        202202181801W006992              IVSSH 0.35F V            CCN000005000000005000FN00000000020220501000005000NNE   20220118154441X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE122015
BI00B32X5    TWB2013        202202251801W003943              IVSSH 0.5F W/B           CCN000001800000001800FN00000000020220501000001800NNM   20220118154443X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE222002
BI00B32X5    TWB2013        202202251801W00395U              IVSSH 0.5F BE            CCN000001800000001800FN00000000020220501000001800NNM   20220118154443X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE222001
BI00B32X5    TWB2013        202202251801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220501000001300NNM   20220118154443X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE222003
BI00B32X5    TWB2013        202202251801W006930              IVSSH 0.35F B            CCN000032500000032500FN00000000020220501000032500NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222004
BI00B32X5    TWB2013        202202251801W006940              IVSSH 0.35F W            CCN000035000000035000FN00000000020220501000035000NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222010
BI00B32X5    TWB2013        202202251801W006943              IVSSH 0.35F W/B          CCN000012500000012500FN00000000020220501000012500NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222011
BI00B32X5    TWB2013        202202251801W006950              IVSSH 0.35F R            CCN000020000000020000FN00000000020220501000020000NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222008
BI00B32X5    TWB2013        202202251801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220501000002500NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222007
BI00B32X5    TWB2013        202202251801W006970              IVSSH 0.35F Y            CCN000010000000010000FN00000000020220501000010000NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222012
BI00B32X5    TWB2013        202202251801W006980              IVSSH 0.35F BR           CCN000002500000002500FN00000000020220501000002500NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222005
BI00B32X5    TWB2013        202202251801W006990              IVSSH 0.35F L            CCN000005000000005000FN00000000020220501000005000NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222006
BI00B32X5    TWB2013        202202251801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220501000002500NNM   20220118154443X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE222009
BI00B32X5    TWB2014        202203041801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020220501000003600NNE   20220118154442X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE322001
BI00B32X5    TWB2014        202203041801W003943              IVSSH 0.5F W/B           CCN000001800000001800FN00000000020220501000001800NNE   20220118154442X5  1W    00000180000000625000000000032X5    EPYNA-E 000000000000AE322002
BI00B32X5    TWB2014        202203041801W004040              IVSSH 0.75F W            CCN000001300000001300FN00000000020220501000001300NNE   20220118154442X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE322006
BI00B32X5    TWB2014        202203041801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220501000001300NNE   20220118154442X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE322003
BI00B32X5    TWB2014        202203041801W004090              IVSSH 0.75F L            CCN000002600000002600FN00000000020220501000002600NNE   20220118154442X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE322004
BI00B32X5    TWB2014        202203041801W004092              IVSSH 0.75F V            CCN000001300000001300FN00000000020220501000001300NNE   20220118154442X5  1W    00000130000000882000000000032X5    EPYNA-E 000000000000AE322005
BI00B32X5    TWB2014        202203041801W006930              IVSSH 0.35F B            CCN000025000000025000FN00000000020220501000025000NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322007
BI00B32X5    TWB2014        202203041801W006940              IVSSH 0.35F W            CCN000035000000035000FN00000000020220501000035000NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322012
BI00B32X5    TWB2014        202203041801W006943              IVSSH 0.35F W/B          CCN000010000000010000FN00000000020220501000010000NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322013
BI00B32X5    TWB2014        202203041801W006950              IVSSH 0.35F R            CCN000017500000017500FN00000000020220501000017500NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322010
BI00B32X5    TWB2014        202203041801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220501000002500NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322009
BI00B32X5    TWB2014        202203041801W006970              IVSSH 0.35F Y            CCN000012500000012500FN00000000020220501000012500NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322014
BI00B32X5    TWB2014        202203041801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220501000002500NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322008
BI00B32X5    TWB2014        202203041801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220501000002500NNE   20220118154442X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE322011
