BI00B32AF    @TTB203D       20220318181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000007000000007000FN00000000020220301000007000NNE   20220215151110    1W    00000025000002778200000000032AF    HBYHVTB 000000000000UT123003
BI00B32W4    4500189335     2022030818018403997              CAVS 0.5 L/Y             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422027
BI00B32W4    4500189335     2022030818018403951              CAVS 0.5 O               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422028
BI00B32W4    4500189335     2022030818018403952              CAVS 0.5 P               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422029
BI00B32W4    4500189335     2022030818018403950              CAVS 0.5 R               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422030
BI00B32W4    4500189335     2022030818018403956              CAVS 0.5 R/G             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422031
BI00B32W4    4500189335     2022030818018403954              CAVS 0.5 R/W             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422032
BI00B32W4    4500189335     2022030818018403957              CAVS 0.5 R/Y             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422033
BI00B32W4    4500189335     2022030818018403992              CAVS 0.5 V               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422034
BI00B32W4    4500189335     2022030818018403940              CAVS 0.5 W               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422035
BI00B32W4    4500189335     2022030818018403945              CAVS 0.5 W/R             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422036
BI00B32W4    4500189335     2022030818018403970              CAVS 0.5 Y               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422037
