BI00B1200    2399T52512     202206237158-3022-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220427152828    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52513     202206307158-3022-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220701000020000NNM   20220427152828    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52512     202206237172-5540-80             SEALED WIRE SEAL         CCN000100000000100000FN00000000020220701000100000NNM   20220427152828    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52513     202206307172-5540-80             SEALED WIRE SEAL         CCN000100000000100000FN00000000020220701000100000NNM   20220427152828    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52512     202206237173-3291-40             LIF LEVER                CCN000004800000004800FN00000000020220701000004800NNM   20220427152828    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T52513     202206307173-3291-40             LIF LEVER                CCN000004800000004800FN00000000020220701000004800NNM   20220427152828    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52512    202206237124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220701000003000NNM   20220427152826    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52513    202206307124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220701000003000NNM   20220427152826    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52512    202206237154-5597-30             CASSETTE R/B             CCN000060000000060000FN00000000020220701000060000NNM   20220427152826    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52513    202206307154-5597-30             CASSETTE R/B             CCN000060000000060000FN00000000020220701000060000NNM   20220427152826    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52512    202206237173-3225-10             LIF LEVER                CCN000004000000004000FN00000000020220701000004000NNM   20220427152826    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52513    202206307173-3225-10             LIF LEVER                CCN000004000000004000FN00000000020220701000004000NNM   20220427152826    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52512    202206237174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152826    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52513    202206307174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152826    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52512    202206237174-1271-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152826    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52513    202206307174-1271-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152826    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    2399T52514     202206027195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427152917    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52515     202206097195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427152917    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52516     202206167195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427152917    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52514     202206027195-0547-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427152917    4P0P  0000255000000041820000076021200    YCYC    006400630015
BI00B1200    2399T52515     202206097195-0547-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427152917    4P0P  0000255000000041820000076021200    YCYC    006400630015
BI00B1200    2399T52514     202206027195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220427152917    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52515     202206097195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220427152917    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52516     202206167195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220427152917    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    #2399T52514    202206027174-1314-30             SEALED COVER             CCN000008800000008800FN00000000020220701000008800NNM   20220427152912    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52515    202206097174-1314-30             SEALED COVER             CCN000008800000008800FN00000000020220701000008800NNM   20220427152912    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52516    202206167174-1314-30             SEALED COVER             CCN000008800000008800FN00000000020220701000008800NNM   20220427152912    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52514    202206027174-1315-30             SEALED COVER             CCN000008800000008800FN00000000020220701000008800NNM   20220427152912    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52515    202206097174-1315-30             SEALED COVER             CCN000008800000008800FN00000000020220701000008800NNM   20220427152912    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52516    202206167174-1315-30             SEALED COVER             CCN000008000000008000FN00000000020220701000008000NNM   20220427152912    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52514    202206027174-1515                FRONT DOOR COVER         CCN000004200000004200FN00000000020220701000004200NNM   20220427152912    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52515    202206097174-1515                FRONT DOOR COVER         CCN000004200000004200FN00000000020220701000004200NNM   20220427152912    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52516    202206167174-1515                FRONT DOOR COVER         CCN000004200000004200FN00000000020220701000004200NNM   20220427152912    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52514    202206027174-1760-50             CAP                      CCN000018000000018000FN00000000020220701000018000NNM   20220427152912    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52515    202206097174-1760-50             CAP                      CCN000018000000018000FN00000000020220701000018000NNM   20220427152912    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52516    202206167174-1760-50             CAP                      CCN000015000000015000FN00000000020220701000015000NNM   20220427152912    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52514    202206027183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220701000002500NNM   20220427152912    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52515    202206097183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220701000002500NNM   20220427152912    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52516    202206167183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220701000002500NNM   20220427152912    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52514    202206027189-2978-30             HOUSING FEMALE           CCN000001500000001500FN00000000020220701000001500NNM   20220427152912    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #2399T52514    202206027189-3033                HOUSING FEMALE           CCN000017600000017600FN00000000020220701000017600NNM   20220427152912    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52515    202206097189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427152912    2F0F  0000016000000121120000143121200    YCYC    005500360039
