BI00B32P8    TAPAW-2022     2022011218007703946              AVSS 0.5F W/G            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C089
BI00B32P8    TAPAW-2022     2022011218007703949              AVSS 0.5F W/L            CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C090
BI00B32P8    TAPAW-2022     2022011218007703945              AVSS 0.5F W/R            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C091
BI00B32P8    TAPAW-2022     2022011218007703970              AVSS 0.5F Y              CCN000007500000007500FN00000000020210201000007500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C092
BI00B32P8    TAPAW-2022     2022011218007703973              AVSS 0.5F Y/B            CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C093
BI00B32P8    TAPAW-2022     2022011218007703976              AVSS 0.5F Y/G            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C094
BI00B32P8    TAPAW-2022     2022011218007703979              AVSS 0.5F Y/L            CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C095
BI00B32P8    TAPAW-2022     2022011218007703975              AVSS 0.5F Y/R            CCN000009000000009000FN00000000020210201000009000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C096
BI00B32P8    TAPAW-2022     2022011218007704030              AVSS 0.75F B             CCN000033000000033000FN00000000020210201000033000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C097
BI00B32P8    TAPAW-2022     2022011218007704036              AVSS 0.75F B/G           CCN000016000000016000FN00000000020210201000016000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C098
BI00B32P8    TAPAW-2022     2022011218007704039              AVSS 0.75F B/L           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C099
BI00B32P8    TAPAW-2022     2022011218007704035              AVSS 0.75F B/R           CCN000013000000013000FN00000000020210201000013000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C101
BI00B32P8    TAPAW-2022     2022011218007704034              AVSS 0.75F B/W           CCN000019000000019000FN00000000020210201000019000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C102
BI00B32P8    TAPAW-2022     2022011218007704037              AVSS 0.75F B/Y           CCN000016000000016000FN00000000020210201000016000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C103
BI00B32P8    TAPAW-2022     2022011218007704080              AVSS 0.75F BR            CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C104
BI00B32P8    TAPAW-2022     2022011218007704084              AVSS 0.75F BR/W          CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C105
BI00B32P8    TAPAW-2022     2022011218007704060              AVSS 0.75F G             CCN000017000000017000FN00000000020210201000017000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C106
BI00B32P8    TAPAW-2022     2022011218007704063              AVSS 0.75F G/B           CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C107
BI00B32P8    TAPAW-2022     2022011218007704065              AVSS 0.75F G/R           CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C108
BI00B32P8    TAPAW-2022     2022011218007704064              AVSS 0.75F G/W           CCN000008000000008000FN00000000020210201000008000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C109
BI00B32P8    TAPAW-2022     2022011218007704067              AVSS 0.75F G/Y           CCN000010000000010000FN00000000020210201000010000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C110
BI00B32P8    TAPAW-2022     2022011218007704041              AVSS 0.75F GY            CCN000007000000007000FN00000000020210201000007000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C111
BI00B32P8    TAPAW-2022     2022011218007704011              AVSS 0.75F GY/L          CCN000007000000007000FN00000000020210201000007000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C114
BI00B32P8    TAPAW-2022     2022011218007704090              AVSS 0.75F L             CCN000013000000013000FN00000000020210201000013000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C116
BI00B32P8    TAPAW-2022     2022011218007704093              AVSS 0.75F L/B           CCN000005000000005000FN00000000020210201000005000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C117
BI00B32P8    TAPAW-2022     2022011218007704096              AVSS 0.75F L/G           CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C118
BI00B32P8    TAPAW-2022     2022011218007704095              AVSS 0.75F L/R           CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C119
BI00B32P8    TAPAW-2022     2022011218007704094              AVSS 0.75F L/W           CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C120
BI00B32P8    TAPAW-2022     2022011218007704097              AVSS 0.75F L/Y           CCN000009000000009000FN00000000020210201000009000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C121
BI00B32P8    TAPAW-2022     2022011218007704061              AVSS 0.75F LG            CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C122
BI00B32P8    TAPAW-2022     2022011218007704052              AVSS 0.75F P             CCN000001000000001000FN00000000020210201000001000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C124
BI00B32P8    TAPAW-2022     20220112180077040H2              AVSS 0.75F P/G           CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C125
BI00B32P8    TAPAW-2022     2022011218007704050              AVSS 0.75F R             CCN000013000000013000FN00000000020210201000013000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C126
BI00B32P8    TAPAW-2022     2022011218007704053              AVSS 0.75F R/B           CCN000002000000002000FN00000000020210201000002000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C127
BI00B32P8    TAPAW-2022     2022011218007704056              AVSS 0.75F R/G           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C128
BI00B32P8    TAPAW-2022     2022011218007704059              AVSS 0.75F R/L           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C129
BI00B32P8    TAPAW-2022     2022011218007704054              AVSS 0.75F R/W           CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C130
BI00B32P8    TAPAW-2022     2022011218007704057              AVSS 0.75F R/Y           CCN000008000000008000FN00000000020210201000008000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C131
BI00B32P8    TAPAW-2022     2022011218007704092              AVSS 0.75F V             CCN000005000000005000FN00000000020210201000005000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C132
BI00B32P8    TAPAW-2022     2022011218007704040              AVSS 0.75F W             CCN000008000000008000FN00000000020210201000008000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C135
BI00B32P8    TAPAW-2022     2022011218007704046              AVSS 0.75F W/G           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C136
BI00B32P8    TAPAW-2022     2022011218007704049              AVSS 0.75F W/L           CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C137
BI00B32P8    TAPAW-2022     2022011218007704045              AVSS 0.75F W/R           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C138
BI00B32P8    TAPAW-2022     2022011218007704070              AVSS 0.75F Y             CCN000005000000005000FN00000000020210201000005000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C139
BI00B32P8    TAPAW-2022     2022011218007704075              AVSS 0.75F Y/R           CCN000009000000009000FN00000000020210201000009000NNM   20211216181005    1W    00000100000000943000000000032P8    YIYTM   000000000000YM41C141
BI00B32P8    TAPAW-2022     2022011218007704130              AVSS 1.25F B             CCN000019200000019200FN00000000020210201000019200NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C142
BI00B32P8    TAPAW-2022     2022011218007704135              AVSS 1.25F B/R           CCN000001600000001600FN00000000020210201000001600NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C143
BI00B32P8    TAPAW-2022     2022011218007704134              AVSS 1.25F B/W           CCN000006400000006400FN00000000020210201000006400NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C144
BI00B32P8    TAPAW-2022     2022011218007704180              AVSS 1.25F BR            CCN000000800000000800FN00000000020210201000000800NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C145
BI00B32P8    TAPAW-2022     2022011218007704160              AVSS 1.25F G             CCN000003200000003200FN00000000020210201000003200NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C146
BI00B32P8    TAPAW-2022     2022011218007704163              AVSS 1.25F G/B           CCN000000800000000800FN00000000020210201000000800NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C147
BI00B32P8    TAPAW-2022     2022011218007704165              AVSS 1.25F G/R           CCN000003200000003200FN00000000020210201000003200NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C148
BI00B32P8    TAPAW-2022     2022011218007704141              AVSS 1.25F GY            CCN000003200000003200FN00000000020210201000003200NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C149
BI00B32P8    TAPAW-2022     2022011218007704190              AVSS 1.25F L             CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C150
BI00B32P8    TAPAW-2022     2022011218007704197              AVSS 1.25F L/Y           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C151
BI00B32P8    TAPAW-2022     2022011218007704150              AVSS 1.25F R             CCN000008000000008000FN00000000020210201000008000NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C152
BI00B32P8    TAPAW-2022     2022011218007704159              AVSS 1.25F R/L           CCN000004000000004000FN00000000020210201000004000NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C153
BI00B32P8    TAPAW-2022     2022011218007704154              AVSS 1.25F R/W           CCN000002400000002400FN00000000020210201000002400NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C154
BI00B32P8    TAPAW-2022     2022011218007704157              AVSS 1.25F R/Y           CCN000005600000005600FN00000000020210201000005600NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C155
BI00B32P8    TAPAW-2022     2022011218007704140              AVSS 1.25F W             CCN000012000000012000FN00000000020210201000012000NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C156
BI00B32P8    TAPAW-2022     2022011218007704143              AVSS 1.25F W/B           CCN000000800000000800FN00000000020210201000000800NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C157
BI00B32P8    TAPAW-2022     2022011218007704149              AVSS 1.25F W/L           CCN000002400000002400FN00000000020210201000002400NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C158
BI00B32P8    TAPAW-2022     2022011218007704170              AVSS 1.25F Y             CCN000008800000008800FN00000000020210201000008800NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C159
BI00B32P8    TAPAW-2022     2022011218007704173              AVSS 1.25F Y/B           CCN000001600000001600FN00000000020210201000001600NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C160
BI00B32P8    TAPAW-2022     2022011218007704179              AVSS 1.25F Y/L           CCN000000800000000800FN00000000020210201000000800NNM   20211216181005    1W    00000080000001389000000000032P8    YIYTM   000000000000YM41C161
BI00B32P8    TAPAW-2022     20220112180D0203730              AVSSH 0.3F B             CCN000024000000024000FN00000000020210201000024000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C013
BI00B32P8    TAPAW-2022     20220112180D0203780              AVSSH 0.3F BR            CCN000016000000016000FN00000000020210201000016000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C014
BI00B32P8    TAPAW-2022     20220112180D0203760              AVSSH 0.3F G             CCN000008000000008000FN00000000020210201000008000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C015
BI00B32P8    TAPAW-2022     20220112180D0203790              AVSSH 0.3F L             CCN000018000000018000FN00000000020210201000018000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C016
BI00B32P8    TAPAW-2022     20220112180D0203752              AVSSH 0.3F P             CCN000016000000016000FN00000000020210201000016000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C017
BI00B32P8    TAPAW-2022     20220112180D0203750              AVSSH 0.3F R             CCN000010000000010000FN00000000020210201000010000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C018
BI00B32P8    TAPAW-2022     20220112180D0203792              AVSSH 0.3F V             CCN000012000000012000FN00000000020210201000012000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C019
BI00B32P8    TAPAW-2022     20220112180D0203770              AVSSH 0.3F Y             CCN000018000000018000FN00000000020210201000018000NNM   20211216181005    1W    00000200000000515000000000032P8    YIYTM   000000000000YM41C020
BI00B32P8    TAPAW-2022     20220112180D0203930              AVSSH 0.5F B             CCN000015000000015000FN00000000020210201000015000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C021
BI00B32P8    TAPAW-2022     20220112180D0203935              AVSSH 0.5F B/R           CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C022
BI00B32P8    TAPAW-2022     20220112180D0203934              AVSSH 0.5F B/W           CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C023
BI00B32P8    TAPAW-2022     20220112180D0203937              AVSSH 0.5F B/Y           CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C024
BI00B32P8    TAPAW-2022     20220112180D0203980              AVSSH 0.5F BR            CCN000007500000007500FN00000000020210201000007500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C025
BI00B32P8    TAPAW-2022     20220112180D0203960              AVSSH 0.5F G             CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C026
BI00B32P8    TAPAW-2022     20220112180D0203964              AVSSH 0.5F G/W           CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C027
BI00B32P8    TAPAW-2022     20220112180D0203990              AVSSH 0.5F L             CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C028
BI00B32P8    TAPAW-2022     20220112180D0203994              AVSSH 0.5F L/W           CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C029
BI00B32P8    TAPAW-2022     20220112180D0203961              AVSSH 0.5F LG            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C030
BI00B32P8    TAPAW-2022     20220112180D0203952              AVSSH 0.5F P             CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C031
BI00B32P8    TAPAW-2022     20220112180D0203907              AVSSH 0.5F P/B           CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C032
BI00B32P8    TAPAW-2022     20220112180D0203950              AVSSH 0.5F R             CCN000018000000018000FN00000000020210201000018000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C033
BI00B32P8    TAPAW-2022     20220112180D0203954              AVSSH 0.5F R/W           CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C034
BI00B32P8    TAPAW-2022     20220112180D0203992              AVSSH 0.5F V             CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000689000000000032P8    YIYTM   000000000000YM41C035
