BI00B32AF    @TTB204B       20220408181B0911741              CAVSAS 0.3X3 GY          CCN000018500000018500FN00000000020220401000018500NNE20 20220321162132    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UT124001
BI00B32R8    TT2205AAMW     20220405180D0203957              AVSSH 0.5F R/Y           CCN000003000000003000FN00000000020220501000003000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423021
BI00B32R8    TT2205AAMW     20220405180D0203992              AVSSH 0.5F V             CCN000003000000003000FN00000000020220501000003000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423022
BI00B32R8    TT2205AAMW     20220405180D0203943              AVSSH 0.5F W/B           CCN000015000000015000FN00000000020220501000015000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423023
BI00B32R8    TT2205AAMW     20220405180D0203949              AVSSH 0.5F W/L           CCN000001500000001500FN00000000020220501000001500NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423024
BI00B32R8    TT2205AAMW     20220405180D0203945              AVSSH 0.5F W/R           CCN000003000000003000FN00000000020220501000003000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423025
BI00B32R8    TT2205AAMW     20220405180D0203970              AVSSH 0.5F Y             CCN000001500000001500FN00000000020220501000001500NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423026
BI00B32R8    TT2205AAMW     20220405180D0203973              AVSSH 0.5F Y/B           CCN000001500000001500FN00000000020220501000001500NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423027
BI00B32R8    TT2205AAMW     20220405180D0203976              AVSSH 0.5F Y/G           CCN000006000000006000FN00000000020220501000006000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423028
BI00B32R8    TT2205AAMW     20220405180D0203975              AVSSH 0.5F Y/R           CCN000003000000003000FN00000000020220501000003000NNE   20220321135157    1W    00000150000000689000000000032R8    TTTJY   000000000000NX423029
BI00B32R8    TT2205AAMW     20220405180D0204034              AVSSH 0.75F B/W          CCN000003000000003000FN00000000020220501000003000NNE   20220321135157    1W    00000100000000934000000000032R8    TTTJY   000000000000NX423030
BI00B32R8    TT2205AAMW     20220405180D0204080              AVSSH 0.75F BR           CCN000001000000001000FN00000000020220501000001000NNE   20220321135157    1W    00000100000000934000000000032R8    TTTJY   000000000000NX423031
BI00B32R8    TT2205AAMW     20220405180D0204043              AVSSH 0.75F W/B          CCN000004000000004000FN00000000020220501000004000NNE   20220321135157    1W    00000100000000934000000000032R8    TTTJY   000000000000NX423032
BI00B32R8    TT2205AAMW     20220405180D0204180              AVSSH 1.25F BR           CCN000001600000001600FN00000000020220501000001600NNE   20220321135157    1W    00000080000001458000000000032R8    TTTJY   000000000000NX423033
BI00B32R8    TT2205AAMW     20220405180D0204159              AVSSH 1.25F R/L          CCN000003200000003200FN00000000020220501000003200NNE   20220321135157    1W    00000080000001458000000000032R8    TTTJY   000000000000NX423034
BI00B32R8    TT2205AAMW     20220405180D0204154              AVSSH 1.25F R/W          CCN000000800000000800FN00000000020220501000000800NNE   20220321135157    1W    00000080000001458000000000032R8    TTTJY   000000000000NX423035
BI00B32R8    TT2205AAMW     20220405180D0204143              AVSSH 1.25F W/B          CCN000001600000001600FN00000000020220501000001600NNE   20220321135157    1W    00000080000001458000000000032R8    TTTJY   000000000000NX423036
BI00B32W4    @4500189120    20220329181D6910239              AVSSHCS 0.5FX2 B/L       CCN000032700000032700FN00000000020220301000032700NNE20 20220321091953W4A21W    00000030000002385000000000032W4A2  HJYHK-J 000000000000OX323001
BI00B32W4    @4500189498    20220405181D6910239              AVSSHCS 0.5FX2 B/L       CCN000015300000015300FN00000000020220401000015300NNE20 20220321091938W4A21W    00000030000002385000000000032W4A2  HJYHK-J 000000000000OJ423001
BI00B32W4    @4500189959    20220412181D6910239              AVSSHCS 0.5FX2 B/L       CCN000007800000007800FN00000000020220401000007800NNE20 20220321092125W4A21W    00000030000002385000000000032W4A2  HJYHK-J 000000000000OY523001
BI00B32W4    @4500190300    20220419181D6910239              AVSSHCS 0.5FX2 B/L       CCN000102000000102000FN00000000020220401000102000NNE20 20220321093610W4A21W    00000030000002385000000000032W4A2  HJYHK-J 000000000000OD124001
