BI00B1200    2399T51815     202111257289-5979-30             HOUSING FEMALE ASS'Y     CCN000014616000008820FN00000000020211001000008820NNM00020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    7242T51907     202112027289-3342-40             HOUSING FEMALE ASS'Y     CCN000024000000009600FN00000000020211001000009600NNE00020211124175127    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51815     202111237289-5979-30             HOUSING FEMALE ASS'Y     PCN000008820000002520FY00000252020211001000000000NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51815     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000002520000002772FN00000000020211001000002772NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51813     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000007560000001260FN00000000020211001000001260NNMD0220211124150620    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    #2399T51C06    202201067174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220101000005600NNM   20211124122808    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T51C07    202201137174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220101000005600NNM   20211124122808    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237174-1315-30             SEALED COVER             CCN000013600000013600FN00000000020220101000013600NNM   20211124122808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T51C06    202201067174-1315-30             SEALED COVER             CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T51C07    202201137174-1315-30             SEALED COVER             CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T51C10     202112237174-1849-70             COVER                    CCN000050000000050000FN00000000020220101000050000NNM   20211124122808    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T51C11     202201067174-1849-70             COVER                    CCN000050000000050000FN00000000020220101000050000NNM   20211124122808    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T51C12     202201137174-1849-70             COVER                    CCN000050000000050000FN00000000020220101000050000NNM   20211124122808    1F0F  0000250000000062250000076191200    YCYC    005400370024
BI00B1200    2399T51C10     202112237195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220101000025500NNM   20211124122808    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T51C11     202201067195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220101000025500NNM   20211124122808    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T51C10     202112237195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220101000090000NNM   20211124122808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T51C11     202201067195-0783-08             TERMINAL                 CCN000090000000090000FN00000000020220101000090000NNM   20211124122808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T51C12     202201137195-0783-08             TERMINAL                 CCN000060000000060000FN00000000020220101000060000NNM   20211124122808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T51C10     202112237196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220101000038000NNM   20211124122808    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T51C10     202112237196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220101000038000NNM   20211124122808    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T51C11     202201067196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220101000038000NNM   20211124122808    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T51C12     202201137196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220101000038000NNM   20211124122808    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T51C10     202112237196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220101000032000NNM   20211124122808    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T51C11     202201067196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220101000032000NNM   20211124122808    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T51C10     202112237196-0648-02             TERMINAL                 CCN000060000000060000FN00000000020220101000060000NNM   20211124122808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T51C11     202201067196-0648-02             TERMINAL                 CCN000045000000045000FN00000000020220101000045000NNM   20211124122808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T51C12     202201137196-0648-02             TERMINAL                 CCN000045000000045000FN00000000020220101000045000NNM   20211124122808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T51C10     202112237196-0805-02             TERMINAL FEMALE          CCN000090000000090000FN00000000020220101000090000NNM   20211124122808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T51C11     202201067196-0805-02             TERMINAL FEMALE          CCN000067500000067500FN00000000020220101000067500NNM   20211124122808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T51C12     202201137196-0805-02             TERMINAL FEMALE          CCN000067500000067500FN00000000020220101000067500NNM   20211124122808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    #2399T51C10    202112237174-1515                FRONT DOOR COVER         CCN000008400000008400FN00000000020220101000008400NNM   20211124122808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T51C11    202201067174-1515                FRONT DOOR COVER         CCN000008400000008400FN00000000020220101000008400NNM   20211124122808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T51C12    202201137174-1515                FRONT DOOR COVER         CCN000007800000007800FN00000000020220101000007800NNM   20211124122808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T51C10    202112237183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220101000002500NNM   20211124122808    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T51C11    202201067183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220101000002500NNM   20211124122808    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T51C10    202112237189-3033                HOUSING FEMALE           CCN000014400000014400FN00000000020220101000014400NNM   20211124122808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T51C11    202201067189-3033                HOUSING FEMALE           CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T51C12    202201137189-3033                HOUSING FEMALE           CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T51C10    202112237189-3034-30             HOUSING FEMALE           CCN000011200000011200FN00000000020220101000011200NNM   20211124122808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T51C11    202201067189-3034-30             HOUSING FEMALE           CCN000009600000009600FN00000000020220101000009600NNM   20211124122808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T51C12    202201137189-3034-30             HOUSING FEMALE           CCN000009600000009600FN00000000020220101000009600NNM   20211124122808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T51C10    202112237189-3036                HOUSING FEMALE           CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T51C11    202201067189-3036                HOUSING FEMALE           CCN000012800000012800FN00000000020220101000012800NNM   20211124122808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T51C12    202201137189-3036                HOUSING FEMALE           CCN000011200000011200FN00000000020220101000011200NNM   20211124122808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T51C10    202112237198-1373-60             HOUSING FEMALE           CCN000008000000008000FN00000000020220101000008000NNM   20211124122808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T51C11    202201067198-1373-60             HOUSING FEMALE           CCN000008000000008000FN00000000020220101000008000NNM   20211124122808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T51C12    202201137198-1373-60             HOUSING FEMALE           CCN000008000000008000FN00000000020220101000008000NNM   20211124122808    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T51C15     202112237287-9323                UNSEALED HOUSING SUB     CCN000009600000009600FN00000000020220101000009600NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C16     202201067287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220101000007200NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C17     202201137287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220101000007200NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C15     202112237287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C16     202201067287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C17     202201137287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T51C15     202112237288-3330-30             HOUSING MALE             CCN000001500000001500FN00000000020220101000001500NNM   20211124122808    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00B1200    2399T51C16     202201067288-3330-30             HOUSING MALE             CCN000001500000001500FN00000000020220101000001500NNM   20211124122808    4N0N  0000015000000086630000101121200    YCYC    005400370024
BI00B1200    2399T51C15     202112237288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220101000001500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C16     202201067288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220101000001500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C17     202201137288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220101000001500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C15     202112237288-3339-30             HOUSING MALE             CCN000004500000004500FN00000000020220101000004500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C16     202201067288-3339-30             HOUSING MALE             CCN000004500000004500FN00000000020220101000004500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
