BI00A1200    2399T51729     202112297289-6547                HOUSING FEMALE ASS'Y     PCN000240000000103200FN00000000020210901000103200NNM00020211224144120    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B32AF    JTB2034        202203047017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220301000027000NNM   20211224150720    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2032        202202187114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220301000024000NNM   20211224150720    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2034        202203047114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220301000024000NNM   20211224150720    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2031        202202117114-4020                TERMINAL                 CCN000042000000042000FN00000000020220301000042000NNM   20211224150720    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2032        202202187114-4020                TERMINAL                 CCN000105000000105000FN00000000020220301000105000NNM   20211224150720    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2033        202202257114-4020                TERMINAL                 CCN000105000000105000FN00000000020220301000105000NNM   20211224150720    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2034        202203047114-4020                TERMINAL                 CCN000042000000042000FN00000000020220301000042000NNM   20211224150720    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2031        202202117114-4030                TERMINAL                 CCN000010500000010500FN00000000020220301000010500NNM   20211224150720    4P0P  00001050000000926100001254732AF    HBYHVTB 006400630017
BI00B32AF    JTB2033        202202257114-4030                TERMINAL                 CCN000010500000010500FN00000000020220301000010500NNM   20211224150720    4P0P  00001050000000926100001254732AF    HBYHVTB 006400630017
BI00B32AF    JTB2031        202202117114-4031                TERMINAL                 CCN000042000000042000FN00000000020220301000042000NNM   20211224150720    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2032        202202187114-4031                TERMINAL                 CCN000031500000031500FN00000000020220301000031500NNM   20211224150720    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2033        202202257114-4031                TERMINAL                 CCN000031500000031500FN00000000020220301000031500NNM   20211224150720    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
