BI00A32AF    @TTB108D       20211208181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000004800000004800FN00000000020210801000004800NNE25 20211204111957    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UT118018
BI00B32D9    C20902         202201271801W003930              IVSSH 0.5F B             CCN000007200000007200FN00000000020220201000007200NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221023
BI00B32D9    C20602         202201061801W003940              IVSSH 0.5F W             CCN000028800000028800FN00000000020220201000028800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C063
BI00B32D9    C20702         202201131801W003940              IVSSH 0.5F W             CCN000028800000028800FN00000000020220201000028800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C123
BI00B32D9    C20802         202201201801W003940              IVSSH 0.5F W             CCN000028800000028800FN00000000020220201000028800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121022
BI00B32D9    C20902         202201271801W003940              IVSSH 0.5F W             CCN000028800000028800FN00000000020220201000028800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221031
BI00B32D9    C20602         202201061801W003941              IVSSH 0.5F GY            CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C057
BI00B32D9    C20702         202201131801W003941              IVSSH 0.5F GY            CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C117
BI00B32D9    C20802         202201201801W003941              IVSSH 0.5F GY            CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121016
BI00B32D9    C20902         202201271801W003941              IVSSH 0.5F GY            CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221025
BI00B32D9    C20602         202201061801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220201000005400NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C064
BI00B32D9    C20702         202201131801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220201000005400NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C124
BI00B32D9    C20802         202201201801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220201000005400NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121023
BI00B32D9    C20902         202201271801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220201000005400NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221032
BI00B32D9    C20602         202201061801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020220201000012600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C061
BI00B32D9    C20702         202201131801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020220201000012600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C121
BI00B32D9    C20802         202201201801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020220201000012600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121020
BI00B32D9    C20902         202201271801W003950              IVSSH 0.5F R             CCN000012600000012600FN00000000020220201000012600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221029
BI00B32D9    C20602         202201061801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C060
BI00B32D9    C20702         202201131801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C120
BI00B32D9    C20802         202201201801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121019
BI00B32D9    C20902         202201271801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221028
BI00B32D9    C20602         202201061801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C056
BI00B32D9    C20702         202201131801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C116
BI00B32D9    C20802         202201201801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121015
BI00B32D9    C20902         202201271801W003960              IVSSH 0.5F G             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221024
BI00B32D9    C20602         202201061801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C059
BI00B32D9    C20702         202201131801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C119
BI00B32D9    C20802         202201201801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121018
BI00B32D9    C20902         202201271801W003961              IVSSH 0.5F LG            CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221027
BI00B32D9    C20602         202201061801W003970              IVSSH 0.5F Y             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C065
BI00B32D9    C20702         202201131801W003970              IVSSH 0.5F Y             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C125
BI00B32D9    C20802         202201201801W003970              IVSSH 0.5F Y             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121024
BI00B32D9    C20902         202201271801W003970              IVSSH 0.5F Y             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221033
BI00B32D9    C20602         202201061801W003990              IVSSH 0.5F L             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C058
BI00B32D9    C20702         202201131801W003990              IVSSH 0.5F L             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C118
BI00B32D9    C20802         202201201801W003990              IVSSH 0.5F L             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121017
BI00B32D9    C20902         202201271801W003990              IVSSH 0.5F L             CCN000003600000003600FN00000000020220201000003600NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221026
BI00B32D9    C20602         202201061801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C062
BI00B32D9    C20702         202201131801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C122
BI00B32D9    C20802         202201201801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121021
BI00B32D9    C20902         202201271801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220201000001800NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT221030
BI00B32D9    C20602         202201061801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C066
BI00B32D9    C20702         202201131801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT41C126
BI00B32D9    C20902         202201271801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT221034
BI00B32D9    C20602         202201061801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C071
BI00B32D9    C20802         202201201801W004043              IVSSH 0.75F W/B          CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT121028
BI00B32D9    C20602         202201061801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C070
BI00B32D9    C20702         202201131801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT41C127
BI00B32D9    C20802         202201201801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT121027
BI00B32D9    C20902         202201271801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT221036
