BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32D2    @DGTW2209      20220106181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000003200000003200FN00000000020220301000003200NNE   20211203104010    1W    00000020000004262000000000032D2    TGYOT-G 000000000000KR31C023
BI00B32M8    PM2111A MW     2021111718007703992              AVSS 0.5F V              CCN000019500000019500FN00000000020211101000019500NNE21 20211203135749    1W    00000150000000674000000000032M8    PMPEMI  000000000000IC41A011
BI00B32N2    2152103708     2021122918007703929              AVSS 0.5F LG/W           CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C009
BI00B32N2    2152103708     2021122918007703930              AVSS 0.5F B              CCN000003000000003000FN00000000020211201000003000NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C005
BI00B32N2    2152103708     2021122918007703940              AVSS 0.5F W              CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C012
BI00B32N2    2152103708     2021122918007703951              AVSS 0.5F O              CCN000003000000003000FN00000000020211201000003000NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C010
BI00B32N2    2152103708     2021122918007703952              AVSS 0.5F P              CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C011
BI00B32N2    2152103708     2021122918007703960              AVSS 0.5F G              CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C006
BI00B32N2    2152103708     2021122918007703965              AVSS 0.5F G/R            CCN000004500000004500FN00000000020211201000004500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C007
BI00B32N2    2152103708     2021122918007703973              AVSS 0.5F Y/B            CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C013
BI00B32N2    2152103708     2021122918007703990              AVSS 0.5F L              CCN000004500000004500FN00000000020211201000004500NNE   20211203083801    1W    00000150000000674000000000032N2    YWYIPLTC000000000000KU21C008
BI00B32N2    2152103708     2021122918007704190              AVSS 1.25F L             CCN000000800000000800FN00000000020211201000000800NNE   20211203083801    1W    00000080000001389000000000032N2    YWYIPLTC000000000000KU21C014
BI00B32N2    2152103708     20211229180D0203990              AVSSH 0.5F L             CCN000001500000001500FN00000000020211201000001500NNE   20211203083801    1W    00000150000000689000000000032N2    YWYIPLTC000000000000KU21C001
BI00B32N2    2152103708     20211229180D0204037              AVSSH 0.75F B/Y          CCN000001000000001000FN00000000020211201000001000NNE   20211203083801    1W    00000100000000968000000000032N2    YWYIPLTC000000000000KU21C002
BI00B32N2    2152103708     20211229180D0204040              AVSSH 0.75F W            CCN000001000000001000FN00000000020211201000001000NNE   20211203083801    1W    00000100000000968000000000032N2    YWYIPLTC000000000000KU21C004
BI00B32N2    2152103708     20211229180D0204090              AVSSH 0.75F L            CCN000001000000001000FN00000000020211201000001000NNE   20211203083801    1W    00000100000000968000000000032N2    YWYIPLTC000000000000KU21C003
BI00B32N3    NBT202-1       2021123018007704130              AVSS 1.25F B             CCN000004800000004800FN00000000020220101000004800NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA21C024
BI00B32N3    NBT202-3       2022011318007704130              AVSS 1.25F B             CCN000002400000002400FN00000000020220101000002400NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C026
BI00B32N3    NBT202-4       2022012018007704130              AVSS 1.25F B             CCN000002400000002400FN00000000020220101000002400NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C048
BI00B32N3    NBT202-1       2021123018007704140              AVSS 1.25F W             CCN000004000000004000FN00000000020220101000004000NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA21C027
BI00B32N3    NBT202-3       2022011318007704140              AVSS 1.25F W             CCN000003200000003200FN00000000020220101000003200NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C029
BI00B32N3    NBT202-4       2022012018007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C051
BI00B32N3    NBT202-1       2021123018007704143              AVSS 1.25F W/B           CCN000003200000003200FN00000000020220101000003200NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA21C028
