BI00B1200    2399T52319     202204287289-7212-30             HOUSING FEMALE ASS'Y     CCN000008880000000000FY00000000020220501000000000NNMQ0820220401101049    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B32AF    JTB2064        202206037114-4032                TERMINAL                 CCN000075000000075000FN00000000020220601000075000NNM   20220401175146    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2063        202205277114-4231-02             TERMINAL                 CCN000018000000018000FN00000000020220601000018000NNM   20220401175146    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4231-02             TERMINAL                 CCN000234000000234000FN00000000020220601000234000NNM   20220401175146    4P0P  00001800000000554400000848032AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4624-02             TERMINAL                 CCN000024000000024000FN00000000020220601000024000NNM   20220401175146    4P0P  00002400000000895200001188832AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-4728-02             TERMINAL                 CCN000300000000300000FN00000000020220601000300000NNM   20220401175146    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4728-02             TERMINAL                 CCN000690000000690000FN00000000020220601000690000NNM   20220401175146    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4728-02             TERMINAL                 CCN000600000000600000FN00000000020220601000600000NNM   20220401175146    4P0P  00003000000000510000000804232AF    HBYHVTB 006400630015
BI00B32AF    JTB2061        202205137114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020220601000030000NNM   20220401175146    4P0P  00003000000000507000000801232AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020220601000030000NNM   20220401175146    4P0P  00003000000000507000000801232AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4728-08             TERMINAL                 CCN000030000000030000FN00000000020220601000030000NNM   20220401175146    4P0P  00003000000000507000000801232AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-4729-02             TERMINAL                 CCN000150000000150000FN00000000020220601000150000NNM   20220401175146    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4729-02             TERMINAL                 CCN000210000000210000FN00000000020220601000210000NNM   20220401175146    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4729-02             TERMINAL                 CCN000180000000180000FN00000000020220601000180000NNM   20220401175146    4P0P  00003000000000516000000810232AF    HBYHVTB 006400630015
