BI00B32J1    @390633        20220214181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000500000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000025000002778200000000032J1    UKYEL-BL000000000000KG122009
BI00B32J1    @390633        20220214181E48015ZZ              CAVSAS-S 0.5X1 GY        CCN000001600000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000040000001900600000000032J1    UKYEL-BL000000000000KG122006
BI00B32W9    4500188305     2022030118018403753              CAVS 0.3 R/B             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322040
BI00B32W9    4500188305     2022030118018403756              CAVS 0.3 R/G             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322041
BI00B32W9    4500188305     2022030118018403757              CAVS 0.3 R/Y             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322043
BI00B32W9    4500188305     2022030118018403740              CAVS 0.3 W               CCN000016000000016000FN00000000020220301000016000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322045
BI00B32W9    4500188305     2022030118018403935              CAVS 0.5 B/R             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322047
BI00B32W9    4500188305     2022030118018403983              CAVS 0.5 BR/B            CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322050
BI00B32W9    4500188305     2022030118018403984              CAVS 0.5 BR/W            CCN000004500000004500FN00000000020220301000004500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322051
BI00B32W9    4500188305     2022030118018403963              CAVS 0.5 G/B             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322053
BI00B32W9    4500188305     2022030118018403969              CAVS 0.5 G/L             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322054
BI00B32W9    4500188305     2022030118018403967              CAVS 0.5 G/Y             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322056
BI00B32W9    4500188305     2022030118018403993              CAVS 0.5 L/B             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322058
BI00B32W9    4500188305     2022030118018403914              CAVS 0.5 L/O             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322059
BI00B32W9    4500188305     2022030118018403954              CAVS 0.5 R/W             CCN000006000000006000FN00000000020220301000006000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322071
BI00B32W9    4500188305     2022030118018403957              CAVS 0.5 R/Y             CCN000004500000004500FN00000000020220301000004500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322072
BI00B32W9    4500188305     2022030118018403992              CAVS 0.5 V               CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322074
BI00B32W9    4500188305     2022030118018403946              CAVS 0.5 W/G             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322078
BI00B32W9    4500188305     2022030118018403945              CAVS 0.5 W/R             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322079
BI00B32W9    4500188305     2022030118018403970              CAVS 0.5 Y               CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322080
BI00B32W9    4500188305     2022030118018403973              CAVS 0.5 Y/B             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322081
BI00B32W9    4500188305     2022030118018404050              CAVS 0.85 R              CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322096
BI00B32W9    4500188305     2022030118018404057              CAVS 0.85 R/Y            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322101
BI00B32W9    4500188305     2022030118018404040              CAVS 0.85 W              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322102
BI00B32W9    4500188305     2022030118018404156              CAVS 1.25 R/G            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322113
BI00B32W9    4500188305     2022030118018404145              CAVS 1.25 W/R            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322115
BI00B32W9    4500188305     2022030118018403975              CAVS 0.5 Y/R             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322083
BI00B32W9    4500188305     2022030118018403754              CAVS 0.3 R/W             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322042
BI00B32W9    4500188305     2022030118018404070              CAVS 0.85 Y              CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322105
BI00B32W9    4500188305     2022030118018404080              CAVS 0.85 BR             CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322086
BI00B32W9    4500188305     2022030118018404190              CAVS 1.25 L              CCN000001600000001600FN00000000020220301000001600NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322109
BI00B32W9    4500188305     2022030118018404159              CAVS 1.25 R/L            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322114
BI00B32W9    4500188305     2022030118018404075              CAVS 0.85 Y/R            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322107
BI00B32W9    4500188305     2022030118018403933              CAVS 0.5 V/W             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322075
BI00B32W9    4500188305     2022030118018404090              CAVS 0.85 L              CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322093
BI00B32W9    4500188305     2022030118018404053              CAVS 0.85 R/B            CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322097
BI00B32W9    4500188305     2022030118018403936              CAVS 0.5 B/G             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322046
BI00B32W9    4500188305     2022030118018403979              CAVS 0.5 Y/L             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322082
BI00B32W9    4500188305     2022030118018404060              CAVS 0.85 G              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322087
BI00B32W9    4500188305     2022030118018404054              CAVS 0.85 R/W            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322100
BI00B32W9    4500188305     2022030118018404194              CAVS 1.25 L/W            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322110
